Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,102,96,6,94.12,5,9,40.0
2024-01-04,99,88,11,88.89,21,1,40.2
2024-01-05,173,159,14,91.91,28,5,40.3
2024-01-07,122,112,10,91.8,7,8,40.5
2024-01-09,82,62,20,75.61,23,7,40.7
2024-01-11,175,151,24,86.29,15,7,40.8
2024-01-13,146,125,21,85.62,23,7,41.0
2024-01-14,123,108,15,87.8,24,9,41.2
2024-01-16,156,137,19,87.82,26,3,41.3
2024-01-18,158,143,15,90.51,28,7,41.5
2024-01-20,155,139,16,89.68,29,0,41.7
2024-01-21,149,136,13,91.28,26,0,41.8
2024-01-22,99,80,19,80.81,22,8,42.0
2024-01-24,179,162,17,90.5,14,5,42.2
2024-01-27,99,90,9,90.91,20,7,42.3
2024-01-29,94,67,27,71.28,14,6,42.5
2024-01-31,112,103,9,91.96,15,6,42.7
2024-02-01,115,95,20,82.61,25,2,42.8
2024-02-04,94,68,26,72.34,25,2,43.0
2024-02-05,85,69,16,81.18,6,6,43.1
2024-02-08,154,130,24,84.42,20,9,43.3
2024-02-09,132,104,28,78.79,12,1,43.5
2024-02-12,113,92,21,81.42,5,7,43.6
2024-02-13,119,91,28,76.47,23,6,43.8
2024-02-14,126,113,13,89.68,12,1,44.0
2024-02-15,179,168,11,93.85,24,2,44.1
2024-02-17,118,93,25,78.81,18,4,44.3
2024-02-20,164,151,13,92.07,14,2,44.5
2024-02-23,108,87,21,80.56,7,9,44.6
2024-02-25,95,73,22,76.84,24,8,44.8
2024-02-27,141,126,15,89.36,19,8,45.0
2024-02-29,91,81,10,89.01,23,6,45.1
2024-03-01,96,70,26,72.92,5,5,45.3
2024-03-03,179,151,28,84.36,29,9,45.5
2024-03-06,165,144,21,87.27,15,7,45.6
2024-03-07,161,155,6,96.27,29,4,45.8
2024-03-09,115,110,5,95.65,28,4,46.0
2024-03-11,85,71,14,83.53,28,6,46.1
2024-03-14,125,115,10,92.0,21,4,46.3
2024-03-17,122,103,19,84.43,29,8,46.5
2024-03-20,84,78,6,92.86,28,2,46.6
2024-03-23,165,150,15,90.91,22,5,46.8
2024-03-24,108,83,25,76.85,16,7,47.0
2024-03-25,165,137,28,83.03,23,9,47.1
2024-03-27,98,75,23,76.53,6,7,47.3
2024-03-28,130,115,15,88.46,19,7,47.5
2024-03-30,106,92,14,86.79,11,8,47.6
2024-04-02,102,95,7,93.14,15,8,47.8
2024-04-04,93,72,21,77.42,29,9,48.0
2024-04-05,88,71,17,80.68,15,1,48.1
2024-04-07,130,106,24,81.54,19,2,48.3
2024-04-09,172,149,23,86.63,6,8,48.5
2024-04-10,129,107,22,82.95,11,7,48.6
2024-04-13,177,166,11,93.79,12,6,48.8
2024-04-14,170,143,27,84.12,18,4,49.0
2024-04-17,161,148,13,91.93,8,0,49.1
2024-04-20,134,114,20,85.07,15,6,49.3
2024-04-22,99,87,12,87.88,22,3,49.4
2024-04-23,82,56,26,68.29,29,5,49.6
2024-04-24,152,129,23,84.87,18,2,49.8
2024-04-26,124,119,5,95.97,12,1,49.9
2024-04-28,173,148,25,85.55,15,2,50.1
2024-04-29,122,114,8,93.44,14,7,50.3
2024-05-02,80,66,14,82.5,17,7,50.4
2024-05-04,147,127,20,86.39,15,3,50.6
2024-05-07,141,118,23,83.69,28,5,50.8
2024-05-10,131,124,7,94.66,11,5,50.9
2024-05-11,139,120,19,86.33,21,4,51.1
2024-05-12,117,93,24,79.49,27,5,51.3
2024-05-15,97,70,27,72.16,20,3,51.4
2024-05-16,90,71,19,78.89,10,2,51.6
2024-05-19,111,101,10,90.99,29,1,51.8
2024-05-21,165,142,23,86.06,22,4,51.9
2024-05-24,130,116,14,89.23,7,3,52.1
2024-05-25,148,143,5,96.62,12,4,52.3
2024-05-28,94,86,8,91.49,27,2,52.4
2024-05-29,141,135,6,95.74,14,9,52.6
2024-05-31,121,109,12,90.08,23,5,52.8
2024-06-01,140,132,8,94.29,29,5,52.9
2024-06-02,157,150,7,95.54,18,3,53.1
2024-06-04,140,123,17,87.86,26,9,53.3
2024-06-05,84,72,12,85.71,16,9,53.4
2024-06-08,96,89,7,92.71,13,8,53.6
2024-06-11,115,97,18,84.35,11,7,53.8
2024-06-13,150,122,28,81.33,23,7,53.9
2024-06-15,153,125,28,81.7,21,9,54.1
2024-06-18,83,61,22,73.49,6,6,54.3
2024-06-21,179,163,16,91.06,23,3,54.4
2024-06-24,113,100,13,88.5,15,6,54.6
2024-06-26,108,102,6,94.44,15,9,54.8
2024-06-28,127,104,23,81.89,7,7,54.9
2024-07-01,80,75,5,93.75,7,9,55.1
2024-07-04,81,72,9,88.89,18,4,55.2
2024-07-07,81,54,27,66.67,13,2,55.4
2024-07-10,163,147,16,90.18,14,4,55.6
2024-07-13,111,104,7,93.69,8,8,55.7
2024-07-16,164,154,10,93.9,12,9,55.9
2024-07-19,178,171,7,96.07,25,4,56.1
2024-07-22,155,136,19,87.74,7,4,56.2
2024-07-23,166,143,23,86.14,14,1,56.4
2024-07-24,92,81,11,88.04,9,9,56.6
2024-07-27,121,107,14,88.43,20,9,56.7
2024-07-29,156,137,19,87.82,24,8,56.9
2024-07-31,164,154,10,93.9,22,9,57.1
2024-08-01,139,118,21,84.89,29,7,57.2
2024-08-02,133,118,15,88.72,26,0,57.4
2024-08-04,114,92,22,80.7,18,3,57.6
2024-08-06,129,107,22,82.95,15,4,57.7
2024-08-08,121,94,27,77.69,21,8,57.9
2024-08-10,176,149,27,84.66,18,7,58.1
2024-08-13,111,93,18,83.78,25,2,58.2
2024-08-14,155,142,13,91.61,5,5,58.4
2024-08-16,134,115,19,85.82,10,3,58.6
2024-08-17,159,141,18,88.68,6,2,58.7
2024-08-19,163,153,10,93.87,28,1,58.9
