date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,200,479,41.75
2024/02/01,m2,807,855,94.39
2024/02/01,m3,648,697,92.97
2024/02/01,m4,918,973,94.35
2024/02/01,m5,428,740,57.84
2024/02/01,m6,275,331,83.08
2024/02/02,m1,147,454,32.38
2024/02/02,m2,697,757,92.07
2024/02/02,m3,159,255,62.35
2024/02/02,m4,366,712,51.4
2024/02/02,m5,485,571,84.94
2024/02/02,m6,760,960,79.17
2024/02/03,m1,128,253,50.59
2024/02/03,m2,428,466,91.85
2024/02/03,m3,402,705,57.02
2024/02/03,m4,359,798,44.99
2024/02/03,m5,274,745,36.78
2024/02/03,m6,214,922,23.21
2024/02/04,m1,251,674,37.24
2024/02/04,m2,436,726,60.06
2024/02/04,m3,674,984,68.5
2024/02/04,m4,237,303,78.22
2024/02/04,m5,188,574,32.75
2024/02/04,m6,282,613,46.0
2024/02/05,m1,525,877,59.86
2024/02/05,m2,764,971,78.68
2024/02/05,m3,414,473,87.53
2024/02/05,m4,709,761,93.17
2024/02/05,m5,174,364,47.8
2024/02/05,m6,231,258,89.53
2024/02/06,m1,146,218,66.97
2024/02/06,m2,214,413,51.82
2024/02/06,m3,198,572,34.62
2024/02/06,m4,902,986,91.48
2024/02/06,m5,221,674,32.79
2024/02/06,m6,217,560,38.75
2024/02/07,m1,455,731,62.24
2024/02/07,m2,176,432,40.74
2024/02/07,m3,120,139,86.33
2024/02/07,m4,142,229,62.01
2024/02/07,m5,444,776,57.22
2024/02/07,m6,554,759,72.99
2024/02/08,m1,367,391,93.86
2024/02/08,m2,116,135,85.93
2024/02/08,m3,309,926,33.37
2024/02/08,m4,131,441,29.71
2024/02/08,m5,459,966,47.52
2024/02/08,m6,115,547,21.02
2024/02/09,m1,100,313,31.95
2024/02/09,m2,536,941,56.96
2024/02/09,m3,203,214,94.86
2024/02/09,m4,163,448,36.38
2024/02/09,m5,100,103,97.09
2024/02/09,m6,261,400,65.25
2024/02/10,m1,115,176,65.34
2024/02/10,m2,215,399,53.88
2024/02/10,m3,510,835,61.08
2024/02/10,m4,548,925,59.24
2024/02/10,m5,305,410,74.39
2024/02/10,m6,309,391,79.03
2024/02/11,m1,357,370,96.49
2024/02/11,m2,160,344,46.51
2024/02/11,m3,270,312,86.54
2024/02/11,m4,310,320,96.88
2024/02/11,m5,230,320,71.88
2024/02/11,m6,211,275,76.73
2024/02/12,m1,135,224,60.27
2024/02/12,m2,181,932,19.42
2024/02/12,m3,164,397,41.31
2024/02/12,m4,196,808,24.26
2024/02/12,m5,172,210,81.9
2024/02/12,m6,122,149,81.88
2024/02/13,m1,108,171,63.16
2024/02/13,m2,635,720,88.19
2024/02/13,m3,114,167,68.26
2024/02/13,m4,547,619,88.37
2024/02/13,m5,198,202,98.02
2024/02/13,m6,570,663,85.97
2024/02/14,m1,298,941,31.67
2024/02/14,m2,103,107,96.26
2024/02/14,m3,131,332,39.46
2024/02/14,m4,223,753,29.61
2024/02/14,m5,477,637,74.88
2024/02/14,m6,548,746,73.46
2024/02/15,m1,498,560,88.93
2024/02/15,m2,318,497,63.98
2024/02/15,m3,661,810,81.6
2024/02/15,m4,111,600,18.5
2024/02/15,m5,142,174,81.61
2024/02/15,m6,299,305,98.03
2024/02/16,m1,241,962,25.05
2024/02/16,m2,183,607,30.15
2024/02/16,m3,152,161,94.41
2024/02/16,m4,244,571,42.73
2024/02/16,m5,394,792,49.75
2024/02/16,m6,111,253,43.87
2024/02/17,m1,153,310,49.35
2024/02/17,m2,245,615,39.84
2024/02/17,m3,167,993,16.82
2024/02/17,m4,330,358,92.18
2024/02/17,m5,483,525,92.0
2024/02/17,m6,266,780,34.1
2024/02/18,m1,121,151,80.13
2024/02/18,m2,294,333,88.29
2024/02/18,m3,450,912,49.34
2024/02/18,m4,581,600,96.83
2024/02/18,m5,226,229,98.69
2024/02/18,m6,374,541,69.13
2024/02/19,m1,376,942,39.92
2024/02/19,m2,216,336,64.29
2024/02/19,m3,307,398,77.14
2024/02/19,m4,398,809,49.2
2024/02/19,m5,440,721,61.03
2024/02/19,m6,113,656,17.23
2024/02/20,m1,369,522,70.69
2024/02/20,m2,216,646,33.44
2024/02/20,m3,137,159,86.16
2024/02/20,m4,378,520,72.69
2024/02/20,m5,603,731,82.49
2024/02/20,m6,146,163,89.57
2024/02/21,m1,468,577,81.11
2024/02/21,m2,106,622,17.04
2024/02/21,m3,209,248,84.27
2024/02/21,m4,270,856,31.54
2024/02/21,m5,288,608,47.37
2024/02/21,m6,121,201,60.2
2024/02/22,m1,631,866,72.86
2024/02/22,m2,512,983,52.09
2024/02/22,m3,407,977,41.66
2024/02/22,m4,754,819,92.06
2024/02/22,m5,355,592,59.97
2024/02/22,m6,220,938,23.45
2024/02/23,m1,322,423,76.12
2024/02/23,m2,411,626,65.65
2024/02/23,m3,170,366,46.45
2024/02/23,m4,330,623,52.97
2024/02/23,m5,181,285,63.51
2024/02/23,m6,122,168,72.62
2024/02/24,m1,307,572,53.67
2024/02/24,m2,107,290,36.9
2024/02/24,m3,160,236,67.8
